accuracy,precision,recall,f1_score,balanced_accuracy,Model,Temperature,Municipality
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.0,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.01,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.2,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.4,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.5,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,0.6,Lucca
1.0,1.0,1.0,1.0,1.0,llama 3.1 8B,0.8,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 8B,1.0,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 8B,0.0,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 8B,0.01,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 8B,0.2,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 8B,0.4,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 8B,0.5,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 8B,0.6,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 8B,0.8,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.2 8B,1.0,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.0,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.01,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.2,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.4,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.5,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.6,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,0.8,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,llama 3.3 70B Q4,1.0,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 70B Q4,0.01,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 70B Q4,0.4,Lucca
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,llama 3.1 70B Q4,0.5,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 70B Q4,0.6,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 70B Q4,0.8,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,llama 3.1 70B Q4,1.0,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,Mistral v0.3 7B,0.0,Lucca
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,Mistral v0.3 7B,0.01,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,Mistral v0.3 7B,0.2,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,Mistral v0.3 7B,0.4,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,Mistral v0.3 7B,0.5,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,Mistral v0.3 7B,0.6,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,Mistral v0.3 7B,0.8,Lucca
0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5,Mistral v0.3 7B,1.0,Lucca
1.0,1.0,1.0,1.0,1.0,gpt-4o-mini,0.0,Lucca
1.0,1.0,1.0,1.0,1.0,gpt-4o-mini,0.01,Lucca
1.0,1.0,1.0,1.0,1.0,gpt-4o-mini,0.2,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,gpt-4o-mini,0.4,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,gpt-4o-mini,0.5,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,gpt-4o-mini,0.6,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,gpt-4o-mini,0.8,Lucca
0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,gpt-4o-mini,1.0,Lucca
