,Punto,Descrizione,SI/NO,Note,Simple,Response
0,1,"Natura del contratto: lettera commerciale, contratto",SI,,SI,"RISPOSTA GENERALE : SI, la determina specifica che il contratto di accordo quadro è stato stipulato mediante scambio di corrispondenza commerciale, tramite posta elettronica certificata."
1,2,Riferimenti alla DD di affidamento e alla normativa,SI,,SI,"RISPOSTA GENERALE : SI, La determina menziona esplicitamente la determinazione dirigenziale n. 2110 del 21/09/2023 quale documento di affidamento dell'accordo quadro per i servizi. Inoltre, sono citate le normative pertinenti, quali il D.Lgs. n. 36/2023 e la L. n. 241/1990."
2,3,"CRITERIO di SELEZIONE operatore economico
 - Estremi o riferimento a gara (procedure aperte o ristrette)
 - Estremi o riferimento ad affidamento diretto anche senza confronto tra differenti preventivi, il comma 1 dell’art. 50 sottolinea l’importanza del possesso di “documentate esperienze pregresse idonee all’esecuzione delle prestazioni contrattuali”",SI,,NO,"RISPOSTA GENERALE : NO, [Nella determina non sono forniti estremi o riferimenti a gara, né indicazioni riguardo a un affidamento diretto; non viene specificato se sono state considerate le 'documentate esperienze pregresse' richieste all'operatore economico per l'esecuzione delle prestazioni contrattuali secondo quanto stabilito dal comma 1 dell’art. 50 del D.lgs. n. 36/2023.]"
3,4,"Art. 50, c. 1 Dlvo 36/2023 Regolamento UE 2495 del 15/11/2023 per le soglie comunitarie
 - importo stimato lavori fino a 150.000 servizi forniture sino a 140.000 affidamento diretto
 - da 150.000 a 1.000.000 procedura negoziata senza bando previa consultazione 5 OE
 - procedura ordinaria per lavori di importo pari o superiore a 1.000.000 e fino alle soglie di rilevanza europea
  - inferiore a 5.000 senza principio di rotazione",,"NON è un punto, unisci al 3",,
4,5,Tempi di pagamento fatture (specificare se superiori a 30 giorni o fare riferimento ad atto richiamato),NO,ANOMALIA GRAVE,NO,"RISPOSTA GENERALE : NO, non sono specificati i tempi di pagamento delle fatture, né si fa riferimento a un atto richiamato che stabilisca tali termini."
5,6,Termini di conclusione della prestazione/lavori,NO,"Trattandosi di ordinativo di accordo quadro, non è grave",NO,"RISPOSTA GENERALE : NO, I termini di conclusione della prestazione/lavori non sono nominati nella determina. Non è specificata alcuna scadenza per il completamento del servizio di coordinamento della sicurezza in fase di esecuzione dei lavori."
6,7,Specificare se sono fondi soggetti a rendicontazione,NO,ANOMALIA GRAVE,SI,"RISPOSTA GENERALE : SI, i fondi sono specificati e il punto 5 della determina indica che la spesa è esigibile nel 2025 e soggetta agli obblighi di tracciabilità dei flussi finanziari, come previsto dalla normativa."
7,8,Specificare la normativa sulla privacy per i dati personali,NON PERTINETE,Accordo quadro,NO,"RISPOSTA GENERALE : NO, La determina non fa menzione esplicita del rispetto della normativa sulla privacy per i dati personali, come previsto dal Regolamento (UE) 2016/679 (GDPR) e dalla legislazione nazionale in materia di protezione dei dati."
8,9,Richiamato il codice di comportamento dei dipendenti,NON PERTINETE,Accordo quadro,NO,"RISPOSTA GENERALE : NO, non viene richiamato il codice di comportamento dei dipendenti nella determina dirigenziale. Non ci sono riferimenti espliciti al codice di comportamento o alle norme etiche all'interno del testo esaminato."
9,10,"Piattaforma di e-procurement: Start, Consip Mepa ai fini della pubblicità su Banca Dati Nazionale/PCT ANAC",NON PERTINETE,Accordo quadro,NO,"RISPOSTA GENERALE: NO, non si da atto che la piattaforma di e-procurement sia stata utilizzata. Nella determina non viene menzionato l'uso di alcuna piattaforma di e-procurement come Start o Consip Mepa, né si fa riferimento alla pubblicità su Banca Dati Nazionale/PCT ANAC."
