Modello,determina_in,Temperature,accuracy,precision,recall,f1_score,balanced_accuracy
Mistral-v0.3-7B,system,0.0,0.646780303030303,0.5038538797061525,0.646780303030303,0.5508219226929112,0.36622807017543857
Mistral-v0.3-7B,system,0.01,0.646780303030303,0.5038538797061525,0.646780303030303,0.5508219226929112,0.36622807017543857
Mistral-v0.3-7B,system,0.2,0.646780303030303,0.5038538797061525,0.646780303030303,0.5508219226929112,0.36622807017543857
Mistral-v0.3-7B,system,0.4,0.6519886363636364,0.5048534588307316,0.6519886363636364,0.5536135771154794,0.3684210526315789
Mistral-v0.3-7B,system,0.5,0.6240530303030303,0.44517619375573925,0.6240530303030303,0.5120127786206091,0.32456140350877194
Mistral-v0.3-7B,system,0.6,0.6519886363636364,0.5048534588307316,0.6519886363636364,0.5536135771154794,0.3684210526315789
Mistral-v0.3-7B,system,0.8,0.646780303030303,0.5073261019283747,0.646780303030303,0.5546098014807899,0.36622807017543857
Mistral-v0.3-7B,system,1.0,0.6519886363636364,0.5048534588307316,0.6519886363636364,0.5536135771154794,0.3684210526315789
gpt-4o,system,0.0,0.7910353535353536,0.806568751237869,0.7910353535353536,0.7764305717430717,0.6721491228070176
gpt-4o,system,0.01,0.7910353535353536,0.7904694264069265,0.7910353535353536,0.7680235574927355,0.6535087719298246
gpt-4o,system,0.2,0.7877209595959596,0.8176571752002787,0.7877209595959596,0.7786020136985896,0.6716008771929824
gpt-4o,system,0.5,0.7403724747474747,0.7603145424836601,0.7403724747474747,0.7242355445480446,0.5679824561403508
gpt-4o,system,1.0,0.7454229797979798,0.7579996392496392,0.7454229797979798,0.7397598495604136,0.5922880116959064
gpt-4o-mini,system,0.0,0.7040719696969697,0.7517872752247752,0.7040719696969697,0.7104356325863679,0.5804093567251462
gpt-4o-mini,system,0.01,0.7318497474747475,0.7656761641136641,0.7318497474747475,0.7350388071895424,0.6081871345029239
gpt-4o-mini,system,0.2,0.7040719696969697,0.7517872752247752,0.7040719696969697,0.7104356325863679,0.5804093567251462
gpt-4o-mini,system,0.5,0.7091224747474747,0.7722952343816314,0.7091224747474747,0.7208729538183585,0.5782163742690059
gpt-4o-mini,system,1.0,0.6029040404040404,0.6995738636363636,0.6029040404040404,0.6306107590885817,0.4996345029239766
gpt-4o-mini,user,0.0,0.6700336700336701,0.7301587301587302,0.6700336700336701,0.6727272727272727,0.5879629629629629
gpt-4o-mini,user,0.01,0.6700336700336701,0.7243867243867244,0.6700336700336701,0.6721500721500723,0.6296296296296297
gpt-4o-mini,user,0.2,0.6397306397306397,0.7243867243867244,0.6397306397306397,0.6519480519480519,0.5740740740740741
