,Punto,Descrizione,SI/NO,Note,Simple,Response
0,1,"Natura del contratto: lettera commerciale, contratto",SI,,SI,"RISPOSTA GENERALE : SI, la determina specifica che il contratto di accordo quadro è stato stipulato mediante scambio di corrispondenza commerciale, tramite posta elettronica certificata, e fornisce gli estremi del contratto (rep. n. 488 del 29/09/2024)."
1,2,Riferimenti alla DD di affidamento e alla normativa,SI,,SI,"RISPOSTA GENERALE : SI, la determina contiene riferimenti alla determinazione dirigenziale n. 2110 del 21/09/2023 per l'affidamento dell'accordo quadro e cita le normative pertinenti, tra cui il D.Lgs. n. 36/2023 e la L. n. 241/1990."
2,3,"CRITERIO di SELEZIONE operatore economico
 - Estremi o riferimento a gara (procedure aperte o ristrette)
 - Estremi o riferimento ad affidamento diretto anche senza confronto tra differenti preventivi, il comma 1 dell’art. 50 sottolinea l’importanza del possesso di “documentate esperienze pregresse idonee all’esecuzione delle prestazioni contrattuali”",SI,,NO,"RISPOSTA GENERALE: **NO**, non sono presenti i criteri di selezione dell'operatore economico. Nella determina si fa riferimento all'assegnazione dell'accordo quadro a un unico operatore, ma non vengono forniti estremi o riferimenti a procedure di gara, né si menzionano criteri specifici di selezione come documentate esperienze pregresse o modalità di affidamento diretto."
3,4,"Art. 50, c. 1 Dlvo 36/2023 Regolamento UE 2495 del 15/11/2023 per le soglie comunitarie
 - importo stimato lavori fino a 150.000 servizi forniture sino a 140.000 affidamento diretto
 - da 150.000 a 1.000.000 procedura negoziata senza bando previa consultazione 5 OE
 - procedura ordinaria per lavori di importo pari o superiore a 1.000.000 e fino alle soglie di rilevanza europea
  - inferiore a 5.000 senza principio di rotazione",,"NON è un punto, unisci al 3",,
4,5,Tempi di pagamento fatture (specificare se superiori a 30 giorni o fare riferimento ad atto richiamato),NO,ANOMALIA GRAVE,NO,"RISPOSTA GENERALE : NO, non sono specificati i tempi di pagamento delle fatture. La determina non fa riferimento a termini di pagamento, né indica se questi siano superiori a 30 giorni."
5,6,Termini di conclusione della prestazione/lavori,NO,"Trattandosi di ordinativo di accordo quadro, non è grave",NO,"RISPOSTA GENERALE : NO, non sono specificati i termini di conclusione della prestazione/lavori nella determina."
6,7,Specificare se sono fondi soggetti a rendicontazione,NO,ANOMALIA GRAVE,SI,"RISPOSTA GENERALE : SI, i fondi sono soggetti a rendicontazione. Nella determina si fa riferimento alla spesa approvata nel rispetto del bilancio di previsione 2025-2027 e si menziona che la spesa è soggetta agli obblighi di tracciabilità dei flussi finanziari, come previsto dalla L. n. 136/2010."
7,8,Specificare la normativa sulla privacy per i dati personali,NON PERTINETE,Accordo quadro,NO,"RISPOSTA GENERALE : NO, La determina non fa riferimento esplicito al rispetto della normativa sulla privacy per i dati personali, come previsto dal Regolamento (UE) 2016/679 (GDPR) e dalla normativa nazionale in materia di protezione dei dati personali."
8,9,Richiamato il codice di comportamento dei dipendenti,NON PERTINETE,Accordo quadro,NO,"RISPOSTA GENERALE : NO, Il testo della determina non fa alcun riferimento al codice di comportamento dei dipendenti."
9,10,"Piattaforma di e-procurement: Start, Consip Mepa ai fini della pubblicità su Banca Dati Nazionale/PCT ANAC",NON PERTINETE,Accordo quadro,NO,"RISPOSTA GENERALE: NO, [Nella determina non viene menzionato l'utilizzo di una piattaforma di e-procurement come Start o Consip Mepa per la pubblicità su Banca Dati Nazionale/PCT ANAC.]"
