	Punto	Response	Simple
0	Competenza organo/dirigente individuato con decreto	RISPOSTA GENERALE : SI, La determina indica che il Dirigente competente è la dott.ssa Maria Cristina Panconi, come previsto dal decreto del Sindaco n. 38 del 30/10/2024.	SI
1	Articolazione dell’atto in intestazione  preambolo/premessa, parte motivazione, dispositivo, indicazione autorità e termini per ricorrere, riferimenti al deposito nel fascicolo digitale degli atti afferenti il procedimento amm.vo ex art. 41 CAD (gestione documentale)	RISPOSTA GENERALE : SI, La determina presenta una chiara articolazione in intestazione con l’indicazione del preambolo/premessa, una parte motivazionale e un dispositivo. Inoltre, include l'indicazione dell'autorità (Direttore) e i termini per ricorrere al TAR. Tuttavia, non sono presenti riferimenti espliciti al deposito nel fascicolo digitale degli atti afferenti il procedimento amministrativo ex art. 41 CAD.	SI
2	Affidabilità riferimenti normativi di carattere generale es. TUEL 	RISPOSTA GENERALE : SI, [Nella determina sono citati il d.lgs. 18 agosto 2000, n. 267 (TUEL) e il d.lgs. 31 marzo 2023, n. 36 (Codice dei Contratti Pubblici), in conformità ai riferimenti normativi richiesti.]	SI
3	Affidabilità riferimenti normativi specifici es. Codice dei contratti, Regolamenti Ente	RISPOSTA GENERALE : SI, la determina cita correttamente i riferimenti normativi specifici, in particolare l’art. 45 del d.lgs. 36/2023 (Codice dei Contratti pubblici) e il d. lgs. 18 agosto 2000, n. 267, rispettando così le indicazioni riguardanti l'affidabilità dei riferimenti normativi.	SI
4	"Nel caso di attività inserite negli atti di programmazione Coerenza con: 
- DUP  e PIAO 
- Bilancio di Previsione se trattasi di DD con spesa; 
- cronoprogramma  in fase di esecuzione (lavori, forniture, servizi 
- SITAT e altre banche dati)"	RISPOSTA GENERALE: NO, la determina non fa esplicito riferimento al DUP, al PIAO e al Bilancio di Previsione. Non è chiaro se le attività siano in coerenza con questi documenti di programmazione e pianificazione.	NO
5	Esplicitazione motivazione con puntuale indicazione presupposti di fatto e ragioni giuridiche (riferimenti normativi e/o regolamentari)	RISPOSTA GENERALE : SI, La determina presenta un'adeguata motivazione con chiara esplicitazione dei presupposti di fatto (errore materiale nella determinazione precedente) e le ragioni giuridiche (riferimento all'art. 45 del d.lgs. 36/2023 sul Codice dei Contratti pubblici) per la rettifica della determinazione n. 3555/2024.	SI
6	"1) Responsabile del Procedimento ovvero distinzione tra responsabile del procedimento e del provvedimento; se è la EQ responsabile del provvedimento (delega di firma) indicare l’attribuzione/delega del Dirigente
2)  indicare  RUP delegato per fase"	RISPOSTA GENERALE : SI, La determina indica chiaramente che l'ing. Rossana Bergamini è confermata come Responsabile Unico del Progetto (RUP), e non ci sono ambiguità relative alla distinzione tra responsabile del procedimento e responsabile del provvedimento. Inoltre, la determina è firmata dal Dirigente, dott.ssa Maria Cristina Panconi, che esercita le sue funzioni in virtù di un decreto di attribuzione del Sindaco.	SI
7	"Indicazione misure di prevenzione pertinenti rispetto allo specifico provvedimento, ad es:
- conflitto di interessi (per il PNRR obbligatorio sempre chiedere la dichiarazione)
- obblighi di pubblicità ai sensi delle Delibere ANAC 2023 per contratti finiti o in corso al 31.1.2023
- obblighi di pubblicità ai sensi del Dlvo 36/2023, art. 28
Qualora il provvedimento sia funzionale al raggiungimento di un obiettivo di performance, dare atto del rispetto delle misure di protezione inserite nelle fasi di PIAO"	RISPOSTA GENERALE : NO, Non si trova alcuna indicazione nel provvedimento riguardo all'adozione di misure di prevenzione relative al conflitto di interessi o agli obblighi di pubblicità ai sensi delle normative ANAC e del Dlvo 36/2023. Inoltre, non vi è alcun riferimento al rispetto delle misure di protezione nelle fasi del PIAO.	NO
8	Rispetto normativa sulla tutela della riservatezza laddove rilevante	RISPOSTA GENERALE : NO, non vi è alcun riferimento esplicito nella determina riguardo alla normativa sulla tutela della riservatezza, come ad esempio il Regolamento UE 2016/679 (GDPR), nonostante possa essere implicato nella gestione delle informazioni relative ai dati e alle operazioni menzionate.	NO
9	Rispetto dei tempi e dei termini del procedimento	RISPOSTA GENERALE : **SI**, La determina sembra rispettare i tempi e i termini del procedimento, in quanto è una rettifica di una precedente determinazione e viene effettuata nel contesto di una procedura già avviata. Non sono emerse indicazioni di violazioni temporali.	SI
10	"Altre annotazioni/criticità in merito: a. possibilità di semplificare
b. possibilità di digitalizzare
c. fare un focus specifico
d. pari opportunità
e. accesso"	RISPOSTA GENERALE : NO, Non ci sono riferimenti nella determina riguardo a semplificazioni, digitalizzazione, focus specifico su pari opportunità e accesso. Questi aspetti non sono trattati, quindi mancano indicazioni e misure relative a queste tematiche.	NO
