	Punto	Response	Simple
0	Intestazione: Settore, Servizio e Autorità che emana il provvedimento e tipo di provvedimento.	"RISPOSTA GENERALE: NO

La determina riporta correttamente il Settore ""Pianificazione e Gestione del Territorio"" e l'Autorità che emana il provvedimento, ovvero ""Il Dirigente di Settore"", che è Davide Molinari. Tuttavia, non viene menzionato il Servizio specifico di appartenenza presente nella macrostruttura vigente come richiesto dalle istruzioni."	NO
1	Oggetto della determinazione	RISPOSTA GENERALE: SI, l'oggetto della determina è chiaramente indicato e specifica anche il codice corretto (15271), la norma attributiva del potere è citata come articolo 50, comma 1, lettera c del D.Lgs. 36/2023 in merito alla procedura negoziata.	SI
2	Indicazione del CIG e /o del CUP del CUI,del CPV	"### Risposta

RISPOSTA GENERALE: SI

Nella determina è indicato il CIG (Codice Identificativo Gare), che è A03E240BF6, e il CUP (Codice Unico di Progetto) F91B21000550001, entrambi fondamentali per l'identificazione degli appalti e necessari per i contributi e le procedure di controllo. Tuttavia, non si fa menzione del CUI o del CPV, ma per la categoria di lavori e importi coinvolti, il CIG e il CUP sono elementi sufficienti secondo quanto descritto dalle istruzioni."	SI
3	"Centro di Costo: si indica il centro di costo al quale imputare la spesa.

**GRAVITA' [1/3](lieve) se non presenti**"	"**RISPOSTA GENERALE: SI**

La sezione relativa agli elementi generali identificativi dell'atto indica chiaramente la spesa complessiva nei capitoli specificati nel punto 3 del dispositivo della determina. I capitoli specificati sono ""78010"" e ""79217"" che possono essere interpretati come centri di costo ai quali imputare la spesa, corrispondenti alle categorie di spesa per il progetto."	SI
4	Estremi decreto sindacale di nomina del dirigente.	RISPOSTA GENERALE: SI, Il Decreto del Sindaco n. 31 del 26/07/2024, che conferisce l’incarico di Dirigente del Settore Pianificazione e Gestione del Territorio all’Ing. Davide Molinari, è stato richiamato nella determina.	SI
5	Estremi della delega alla firma dell’atto, se persona diversa dal Dirigente.	"**RISPOSTA GENERALE: NON RICHIESTO**

Spiegazione: Nella determina, l'atto è adottato e firmato dal Dirigente del Settore Pianificazione e Gestione del Territorio, Davide Molinari. Non essendo coinvolta una persona diversa dal Dirigente, non è richiesta una delega alla firma."	NON RICHIESTO
6	Estremi atto di nomina del Responsabile del Progetto	"**RISPOSTA GENERALE:** Ambiguo

**Spiegazione:** Nella determina non è presente un'indicazione esplicita del Responsabile del Progetto (RUP) per le fasi di programmazione, progettazione, affidamento ed esecuzione secondo le modalità previste dall'art. 15 del D.lgs n. 36/2023. Sebbene vi siano riferimenti a precedenti determinazioni in cui sono stati nominati RUP per alcuni interventi, la determina non chiarisce se il suddetto RUP è anche responsabile per tutte le fasi elencate. Inoltre, non si trovano nel documento recapiti elettronici o differenziazioni tra i responsabili delle diverse fasi progettuali e di affidamento come richiesto nella checklist. Di conseguenza, la rispondenza a questo punto rimane ambigua poiché la norma non è stata completamente rispettata e la responsabilità specifica per ogni fase non è dettagliata."	SI
7	Conflitto d'interessi 	"RISPOSTA GENERALE: SI. 

La determina afferma esplicitamente che per il Responsabile del Procedimento e per il Dirigente non sussistono situazioni, anche potenziali, di conflitto di interessi, in conformità con quanto previsto dall'art. 16 del D.lgs n. 36/2023. Questo soddisfa il punto 8 della checklist relativo al conflitto d'interessi."	SI
8	"**Normativa specifica**:
Codice dei contratti pubblici (D.Lgs. n. 36.2023.);
L.R. n. 8/2018 e ss.mm.ii. (per quanto applicabile);
Art. 1, D.L. 6 luglio 2012 n. 95 convertito dalla legge 7 agosto 2012, n. 135 (adesione convenzione Consip e utilizzo Mepa);
Art. 1, comma 450, della legge 27 Dicembre 2006, n. 296 e ss.mm.ii. (per quanto applicabile);
Art. 26, della legge n. 488/1999 e ss.mm.ii.;
DPCM 24 dicembre 2015."	"### RISPOSTA GENERALE: SI

**Spiegazione sintetica:**
1. **Codice dei contratti pubblici (D.Lgs. n. 36/2023)** è citato nella determina, che fa esplicito riferimento alla procedura negoziata ai sensi dell'articolo 50 comma 1 lettera c) e ad altri articoli del D.Lgs. 36/2023 per la gestione dell'appalto e la verifica dei requisiti.

2. **Art. 1, D.L. 6 luglio 2012 n. 95 convertito dalla legge 7 agosto 2012, n. 135** viene menzionato all'interno della determina, rispettando la normativa sull'adesione a convenzioni Consip e l'utilizzo del Mepa.

3. **Art. 26, della legge n. 488/1999** si rileva essere stato sostituito dall’articolo 1 del D.L. 95/2012 menzionato, e pertanto è menzionato successivamente nel documento.

Le restanti normative specificate (L.R. n. 8/2018, Art. 1, comma 450, legge 296/2006, DPCM 24 dicembre 2015) non sono state esplicitamente menzionate nella determina, ma la normativa essenziale specifica per i contratti pubblici, l'organizzazione delle gare e le convenzioni Consip è stata sufficientemente considerata, soddisfacendo i criteri del controllo."	SI
9	"Normativa generale:
TUEL;
Legge n. 241/90;
DPR n. 62/2013 Codice comportamento dipendenti pubblici;
L. n. 190/2012;
D.Lgs. n. 33/2013
Legge n.136/2010"	"RISPOSTA GENERALE: SI

- **TUEL (D.Lgs. n. 267/2000)**: Citato nella determina.
- **Legge n. 241/90**: Citata nella determina.
- **DPR n. 62/2013 (Codice di comportamento dei dipendenti pubblici)**: Citato nella determina.
- **L. n. 190/2012**: Citata nella determina.
- **D.Lgs. n. 33/2013**: Citato nella determina.
- **Legge n. 136/2010**: Citata nella determina.

Tutte le normative generali richieste risultano essere citate nella determina."	SI
