	Punto	Response	Simple
0	Intestazione: Settore, Servizio e Autorità che emana il provvedimento e tipo di provvedimento.	"RISPOSTA GENERALE : NO, [Nella determina è indicato solo il Settore ""Servizi alla Persona"", ma non è specificato il servizio di appartenenza presente nella macrostruttura vigente.]"	NO
1	Oggetto della determinazione	RISPOSTA GENERALE: NO, l'oggetto della determinazione riporta il codice errato (15271 invece di 15275) e non specifica correttamente la norma attributiva del potere ex art. 50, comma 1, lett. a/b del D.lgs. n. 36/2023.	NO
2	Indicazione del CIG, del CPV e del CUP (l’indicazione del CUI:  non è richiesta per gli affidamenti diretti ai sensi dell’art. 50 del Dlgs n.36/2023, in quanto consentiti per importi per i quali non è dovuto l’inserimento nei programmi triennali. È richiesta per affidamenti diretti ai sensi dell’art.76 del Dlgs n.36/2023. In caso di consegne complementari ex art.76, comma 4, let. B, o di ripetizione di lavori o servizi analoghi ex art. 76, comma 6, dovrà essere indicato il CUI dell’appalto principale del quale l’affidamento diretto risulta complementare o analogo)	RISPOSTA GENERALE: **NO**, non è presente l'indicazione del CIG e del CUP nella determina. Sebbene il CPV sia menzionato (CPV: 39121100-7), l'assenza del CIG e del CUP non rispetta le disposizioni richieste dall'art. 17, comma 2, del D.Lgs. n. 36/2023.	NO
3	Centro di Costo: si indica il centro di costo al quale imputare la spesa.	RISPOSTA GENERALE: NO, non è indicato il centro di costo al quale imputare la spesa nella determina dirigenziale.	NO
4	Estremi decreto sindacale di nomina del Dirigente.	RISPOSTA GENERALE: **SI**, il Dirigente Giulia Spano è stata nominata con Decreto del Sindaco n. 5 del 31/01/2024, come indicato nella determina. Inoltre, è specificato che il RUP della presente procedura è la stessa Dirigente, il che implica che è responsabile anche della fase di affidamento.	SI
5	Conflitto d’interessi	RISPOSTA GENERALE: SI, [Nella determina è stato attestato che non sussistono situazioni di conflitto di interessi in capo al firmatario dell'atto, al RUP e agli altri partecipanti al procedimento, in conformità con l'art. 16 del D.lgs. n. 36/2023.]	SI
6	Estremi della delega alla firma dell’atto, se persona diversa dal Dirigente.	RISPOSTA GENERALE: NO, non sono presenti gli estremi della delega alla firma dell’atto, in quanto il Dirigente Giulia Lucia F Spano è l'autore della determina e non viene indicata alcuna delega per la firma da parte di un'altra persona.	NO
7	Estremi atto di nomina del Responsabile unico del Progetto, se nominato.	RISPOSTA GENERALE: **NO**, non sono presenti gli estremi dell'atto di nomina del Responsabile unico del Progetto (RUP) nella determina. Sebbene venga menzionato il nome del RUP, non sono forniti i dettagli specifici dell'atto di nomina.	NO
8	Normativa specifica:  Codice dei contratti pubblici (D.Lgs. n. 36.2023.) ;  L. R. n. 8/2018;  Art. 26 legge n.488/1999  Art. 1, D.L. 6 luglio 2012 n. 95 convertito dalla legge 7 agosto 2012 n. 135 (adesione convenzione Consip e MEPA);  Art. 1, comma 450, della legge 27 Dicembre 2006, n. 296 e ss.mm.ii. (per quanto applicabile);  Art. 26, della legge n. 488/1999 e ss.mm.ii.; DPCM 24 dicembre 2015 ;	RISPOSTA GENERALE: **SI**, [La determina fa riferimento al Codice dei contratti pubblici (D.Lgs. n. 36/2023) e ad altre normative specifiche come la L.R. n. 8/2018, l'Art. 26 della legge n. 488/1999, e l'Art. 1, comma 450, della legge n. 296/2006, rispettando così i vincoli e le procedure derivanti dalla normativa applicabile.]	SI
9	Normativa generale:  TUEL;  Legge n. 241/90;  DPR n. 62/2013 Codice comportamento dipendenti pubblici;  L. n. 190/2012;  D.Lgs. n. 33/2013.  Legge n° 136/2010	RISPOSTA GENERALE: SI, [La determina fa riferimento esplicito al D.lgs. n. 267/2000 (TUEL), alla Legge n. 241/1990, al DPR n. 62/2013 (Codice di comportamento dei dipendenti pubblici), alla Legge n. 190/2012 e al D.lgs. n. 33/2013, rispettando così i presupposti normativi generali richiesti per la comprensione del provvedimento.]	SI
10	Norme di principio   Art. 4 del Dlgs n.36/2023. (Criterio interpretativo e applicativo)	RISPOSTA GENERALE: **SI**, la determina fa riferimento all'art. 4 del D. Lgs. n. 36/2023, in quanto si evidenzia l'importanza di seguire i principi di cui agli articoli 1, 2 e 3 per l'applicazione delle disposizioni del codice, e si sottolinea l'esercizio della discrezionalità amministrativa in relazione agli affidamenti diretti.	SI
11	Regolamenti dell’ente quali:  - Statuto Comunale;  - Regolamento di contabilità;  - Regolamento dei contratti	RISPOSTA GENERALE: [SI], [Nella determina sono citati il Regolamento Comunale di Contabilità e il Regolamento Comunale per l’attuazione dei controlli di regolarità amministrativa, rispettando così i riferimenti normativi richiesti.]	SI
12	Indicazione dei riferimenti della determina a contrarre “semplificata” adottata	"RISPOSTA GENERALE: **NO**, non è presente un'indicazione chiara e specifica dei riferimenti della determina a contrarre ""semplificata"" adottata. La determina menziona l'affidamento diretto ai sensi dell'art. 50, comma 1, lett. b) del D.Lgs. n. 36/2023, ma non fornisce dettagli sufficienti riguardo alla forma semplificata richiesta per tale procedura."	NO
13	Indicazione dei riferimenti della determina a contrarre “non semplificata” adottata	"RISPOSTA GENERALE: NO, La determina non fa esplicito riferimento all'avvenuta adozione di una determina a contrarre ""non semplificata"" con indicazione di numero e data, né specifica i termini entro i quali la procedura avrebbe dovuto concludersi."	NO
14	Elementi da approvare con la determina a contrarre nel caso di provvedimento unico	RISPOSTA GENERALE: **NO**, non è presente l'indicazione dell'interesse pubblico che intende soddisfare l'amministrazione. Sebbene la determina menzioni la finalità di garantire la fornitura degli arredi per i nuovi uffici del Centro Disabilità Globale, non è esplicitamente indicato l'interesse pubblico che si intende soddisfare. Inoltre, non è presente un capitolato d'appalto o un quaderno d'oneri dettagliato, ma solo una relazione tecnico-illustrativa e un capitolato tecnico redatti dal RUP.	NO
15	Per gli appalti di servizi: DUVRI	RISPOSTA GENERALE: NO, non è presente il DUVRI o l'attestazione del progettista che certifichi che non è necessario redigere il DUVRI. La determina menziona che, ai sensi dell’art. 26 comma 3 bis del d.lgs. 09/04/2008, n. 81, non è necessaria l’elaborazione del Documento Unico dei Rischi da Interferenze (DUVRI), ma non fornisce un'attestazione specifica del progettista.	NO
16	Suddivisione in lotti e norme sull’indebito frazionamento	RISPOSTA GENERALE: NO, La determina non contiene alcuna motivazione riguardante la mancata suddivisione dell'appalto in lotti, né fa riferimento all'art. 58 del D.lgs. n. 36/2023. Non è stata fornita alcuna giustificazione oggettiva per la scelta di non frazionare l'appalto, il che è necessario per rispettare le normative vigenti.	NO
17	Validazione (in caso di lavori pubblici)	RISPOSTA GENERALE: NO, non è indicata l'avvenuta validazione del progetto posto a base di gara, poiché la determina non menziona alcun riferimento alla validazione del progetto, che è un requisito necessario per l'affidamento diretto in caso di lavori pubblici.	NO
18	Criteri Ambientali Minimi (CAM)	RISPOSTA GENERALE: NO, non è specificato se i lavori, la fornitura/servizio rientrano nell’ambito di applicazione dei criteri ambientali minimi (CAM) adottati ed in vigore in base al Piano per la sostenibilità ambientale dei consumi del settore della pubblica amministrazione. La determina non menziona alcun riferimento ai CAM né indica il DM pertinente.	NO
19	Cauzione	RISPOSTA GENERALE: NO, non è stata menzionata la cauzione definitiva nella determina. La determina afferma che non sarà applicata la garanzia in quanto trattasi di contratto ad esecuzione immediata, come previsto dall’art. 14, comma 5 del regolamento comunale. Tuttavia, non è stata specificata la questione della cauzione definitiva ai sensi dell’art. 117 del D.lgs. n. 36/2023, né è stata fornita una motivazione per la sua non richiesta.	NO
20	Riferimenti all’obbligo di utilizzo di convenzioni Consip o di soggetti aggregatori	RISPOSTA GENERALE: NO, Non si è aderito ad una convenzione Consip o di altro soggetto aggregatore perché non sono attualmente in corso presso la società concessionaria del Ministero dell’Economia e delle Finanze per i servizi informativi pubblici (Consip S.p.a.), convenzioni per i beni che si intende acquisire alle quali poter eventualmente aderire.	NO
21	Riferimenti all’obbligo di utilizzo del MEPA o del sistema telematico messo a disposizione dalla centrale regionale di riferimento	RISPOSTA GENERALE: **SI**, l'affidamento è stato effettuato tramite il Mercato Elettronico della Pubblica Amministrazione (MEPA) come previsto dall'art. 50, comma 1, lett. b) del D. Lgs. 36/2023. La determina specifica che l'affidamento è stato realizzato utilizzando il MEPA, rispettando così l'obbligo di utilizzo per importi pari o superiori a 5.000 euro e inferiori alla soglia di rilievo comunitario.	SI
22	Indicazioni in merito all’istruttoria propedeutica al provvedimento	RISPOSTA GENERALE: **NO**, non è presente una descrizione dettagliata dell'istruttoria propedeutica al provvedimento. Sebbene si faccia riferimento all'individuazione dell'operatore Quadrica S.r.l. e si menzionino le esperienze pregresse, non sono forniti dettagli specifici sulle modalità di istruttoria adottate dal RUP, come ad esempio se sono state effettuate indagini di mercato, consultazioni con altri operatori economici o analisi di prezzi praticati. Questo rende difficile valutare se l'istruttoria sia stata adeguata e sufficiente secondo i principi di risultato, proporzionalità e buon andamento.	NO
23	Denominazione dell’operatore economico affidatario e indicazione relativa all’acquisizione dell’offerta	RISPOSTA GENERALE : **SI**, La determina riporta la denominazione dell'operatore economico affidatario, Quadrica S.r.l. Unipersonale, e indica che l'affidamento avviene tramite trattativa diretta nel Mercato elettronico della Pubblica Amministrazione (MePA).	SI
24	Importo di affidamento	RISPOSTA GENERALE: **NO**, non è presente un dato atto specifico riguardante la congruità del costo della manodopera indicato in sede di presentazione del preventivo dall’affidatario, né l'adeguatezza del contratto collettivo applicato in relazione alle tutele a favore dei lavoratori impiegati nell’appalto. La determina non menziona esplicitamente questi aspetti, che sono fondamentali per garantire la regolarità e la correttezza dell'affidamento diretto.	NO
25	Indicazione di requisiti previsti dalle disposizioni vigenti per il ricorso all’affidamento diretto.	RISPOSTA GENERALE: **SI**, l'operatore economico selezionato, Quadrica S.r.l., è in possesso di documentate esperienze pregresse idonee all’esecuzione delle prestazioni contrattuali, in quanto ha eseguito accuratamente per l'Ente il servizio di fornitura di arredi nell’annualità 2022.	SI
26	Motivazione scelta della procedura e del contraente;        Esporre le ragioni della scelta della ditta affidataria;        Esposizione del fatto che legittima il ricorso alla procedura e della valutazione in ordine alla scelta del contraente.	RISPOSTA GENERALE: **SI**, la determina fornisce una motivazione adeguata per la scelta della procedura e del contraente. Viene evidenziato che l'operatore economico selezionato, Quadrica S.r.l., possiede documentate esperienze pregresse idonee all'esecuzione delle prestazioni contrattuali, avendo già fornito arredi per l'Ente nel 2022. Inoltre, si specifica che l'affidamento diretto è giustificato dalla necessità di procedere in tempi brevi all'arredo dei nuovi uffici del Centro Disabilità Globale e che il valore dell'appalto è inferiore alla soglia comunitaria, il che consente l'utilizzo del MePA. La determina menziona anche la congruità del prezzo rispetto alla qualità della prestazione richiesta.	SI
