	Punto	Response	Simple
0	Intestazione: Settore, Servizio e Autorità che emana il provvedimento e tipo di provvedimento.	RISPOSTA GENERALE : NO, [Nella determina non è specificato il servizio di appartenenza presente nella macrostruttura vigente, è indicato solo il Settore Servizi alla Persona.]	NO
1	Oggetto della determinazione	RISPOSTA GENERALE: NO, l'oggetto della determinazione riporta il codice errato (15271 invece di 15275) e non specifica correttamente la norma attributiva del potere ex art. 50, comma 1, lett. a/b del D. Lgs. n. 36/2023.	NO
2	Indicazione del CIG, del CPV e del CUP (l’indicazione del CUI:  non è richiesta per gli affidamenti diretti ai sensi dell’art. 50 del Dlgs n.36/2023, in quanto consentiti per importi per i quali non è dovuto l’inserimento nei programmi triennali. È richiesta per affidamenti diretti ai sensi dell’art.76 del Dlgs n.36/2023. In caso di consegne complementari ex art.76, comma 4, let. B, o di ripetizione di lavori o servizi analoghi ex art. 76, comma 6, dovrà essere indicato il CUI dell’appalto principale del quale l’affidamento diretto risulta complementare o analogo)	RISPOSTA GENERALE: **NO**, non è presente l'indicazione del CIG e del CUP nella determina. Sebbene sia richiesto l'indicazione del CPV, il CIG e il CUP sono elementi essenziali che devono essere inclusi secondo le normative vigenti. La mancanza di questi dati può compromettere la regolarità amministrativa dell'atto.	NO
3	Centro di Costo: si indica il centro di costo al quale imputare la spesa.	RISPOSTA GENERALE: NO, non è indicato il centro di costo al quale imputare la spesa nella determina dirigenziale.	NO
4	Estremi decreto sindacale di nomina del Dirigente.	RISPOSTA GENERALE : **SI**, il Dirigente Giulia Spano è stata nominata con Decreto del Sindaco n. 5 del 31/01/2024, come indicato nella determina. Inoltre, è specificato che il RUP della presente procedura è la stessa Dirigente, il che implica che è responsabile anche della fase di affidamento.	SI
5	Conflitto d’interessi	RISPOSTA GENERALE: SI, [Nella determina è stato attestato che nei confronti del RUP e degli altri partecipanti al procedimento non sussistono situazioni di conflitto di interessi, in conformità con l'art. 16 del D.lgs. 36/2023.]	SI
6	Estremi della delega alla firma dell’atto, se persona diversa dal Dirigente.	RISPOSTA GENERALE: NO, non sono presenti gli estremi della delega alla firma dell’atto, poiché il Dirigente Giulia Lucia F Spano è l'autore della determina e non risulta che ci sia una persona diversa delegata alla firma.	NO
7	Estremi atto di nomina del Responsabile unico del Progetto, se nominato.	RISPOSTA GENERALE: **SI**, il Responsabile Unico del Progetto (RUP) è stato nominato e il suo nominativo è indicato nel testo della determina, specificando che è la dott.ssa Giulia Spano, Dirigente del Settore Servizi alla Persona, nominato con Decreto del Sindaco n. 5 del 31/01/2024.	SI
8	Normativa specifica:  Codice dei contratti pubblici (D.Lgs. n. 36.2023.) ;  L. R. n. 8/2018;  Art. 26 legge n.488/1999  Art. 1, D.L. 6 luglio 2012 n. 95 convertito dalla legge 7 agosto 2012 n. 135 (adesione convenzione Consip e MEPA);  Art. 1, comma 450, della legge 27 Dicembre 2006, n. 296 e ss.mm.ii. (per quanto applicabile);  Art. 26, della legge n. 488/1999 e ss.mm.ii.; DPCM 24 dicembre 2015 ;	RISPOSTA GENERALE: **SI**, [La determina fa riferimento al Codice dei contratti pubblici (D.Lgs. n. 36/2023) e ad altre normative specifiche come la L.R. n. 8/2018, l'art. 26 della legge n. 488/1999, e l'art. 1, comma 450, della legge n. 296/2006. Queste normative sono citate in modo appropriato e indicano i presupposti di diritto e i vincoli procedurali applicabili all'acquisizione della fornitura di arredi per uffici.]	SI
9	Normativa generale:  TUEL;  Legge n. 241/90;  DPR n. 62/2013 Codice comportamento dipendenti pubblici;  L. n. 190/2012;  D.Lgs. n. 33/2013.  Legge n° 136/2010	RISPOSTA GENERALE: SI, [La determina fa riferimento esplicito al D.lgs. n. 267/2000 (TUEL), alla Legge n. 241/90, al DPR n. 62/2013 (Codice di comportamento dei dipendenti pubblici), alla L. n. 190/2012 e al D.Lgs. n. 33/2013, rispettando così i presupposti normativi generali richiesti per la comprensione del provvedimento.]	SI
10	Norme di principio   Art. 4 del Dlgs n.36/2023. (Criterio interpretativo e applicativo)	RISPOSTA GENERALE: **SI**, la determina fa riferimento all'art. 4 del D.lgs. n. 36/2023, in quanto si evidenzia che le disposizioni del codice si interpretano e si applicano in base ai principi di cui agli articoli 1, 2 e 3, e si sottolinea l'importanza del principio del risultato nell'esercizio della discrezionalità amministrativa.	SI
11	Regolamenti dell’ente quali:  - Statuto Comunale;  - Regolamento di contabilità;  - Regolamento dei contratti	RISPOSTA GENERALE: **SI**, il Regolamento Comunale di Contabilità è citato nella determina, e si fa riferimento anche al Regolamento Comunale per l’attuazione dei controlli di regolarità amministrativa. Tuttavia, non è menzionato esplicitamente lo Statuto Comunale.	SI
12	Indicazione dei riferimenti della determina a contrarre “semplificata” adottata	"RISPOSTA GENERALE: **NO**, non è presente un'indicazione chiara e specifica dei riferimenti della determina a contrarre ""semplificata"" adottata. La determina menziona l'affidamento diretto ex art. 50, comma 1, lett. b), ma non fornisce dettagli sufficienti per identificare una determina a contrarre semplificata, come richiesto dalla normativa."	NO
13	Indicazione dei riferimenti della determina a contrarre “non semplificata” adottata	"RISPOSTA GENERALE: NO, La determina non fa esplicito riferimento all'adozione di una determina a contrarre ""non semplificata"" con numero e data per l'individuazione dell'acquisto dei lavori, servizi e forniture da effettuare. Non sono indicati i termini entro i quali la procedura avrebbe dovuto concludersi né se tali termini sono stati rispettati."	NO
14	Elementi da approvare con la determina a contrarre nel caso di provvedimento unico	RISPOSTA GENERALE: **NO**, non è presente l'indicazione dell'interesse pubblico che intende soddisfare l’amministrazione. Sebbene la determina menzioni la finalità di garantire l'arredo dei nuovi uffici del Centro Disabilità Globale, non viene esplicitamente indicato l'interesse pubblico specifico che si intende soddisfare. Inoltre, non è presente un capitolato d'appalto o un quaderno d'oneri approvato, ma solo una relazione tecnico-illustrativa e un capitolato redatti dal RUP.	NO
15	Per gli appalti di servizi: DUVRI	RISPOSTA GENERALE: NO, non è presente un DUVRI redatto in conformità a quanto previsto dall’art. 26 del d.lgs. n. 81/2008, né un'attestazione del progettista che certifichi che non è necessario redigere il DUVRI. La determina menziona che, ai sensi dell’art. 26 comma 3 bis del d.lgs. 09/04/2008, non è necessaria l’elaborazione del Documento Unico dei Rischi da Interferenze (DUVRI), ma non fornisce ulteriori dettagli o giustificazioni specifiche.	NO
16	Suddivisione in lotti e norme sull’indebito frazionamento	RISPOSTA GENERALE: NO, La determina non contiene alcuna motivazione riguardo alla mancata suddivisione dell'appalto in lotti, né fa riferimento all'art. 58 del D.lgs. n. 36/2023. Non sono fornite ragioni oggettive che giustifichino la scelta di non frazionare l'appalto, il che è necessario per rispettare i principi di concorrenza paritaria per le piccole e medie imprese.	NO
17	Validazione (in caso di lavori pubblici)	RISPOSTA GENERALE: NO, non è indicata l'avvenuta validazione del progetto posto a base di gara, poiché la determina non menziona alcun riferimento alla validazione del progetto per l'affidamento diretto dei lavori pubblici.	NO
18	Criteri Ambientali Minimi (CAM)	RISPOSTA GENERALE: NO, non è specificato se i lavori, la fornitura/servizio rientrano nell’ambito di applicazione dei criteri ambientali minimi (CAM) adottati ed in vigore. La determina non menziona alcun riferimento ai CAM né al Piano per la sostenibilità ambientale dei consumi del settore della pubblica amministrazione.	NO
19	Cauzione	RISPOSTA GENERALE: **NO**, non è presente la formulazione richiesta riguardante la cauzione definitiva nell'affidamento diretto. La determina non specifica se l'affidatario è tenuto a presentare una cauzione definitiva o se, in relazione alla scarsa rilevanza economica dell'affidamento, non si richiede la cauzione definitiva.	NO
20	Riferimenti all’obbligo di utilizzo di convenzioni Consip o di soggetti aggregatori	RISPOSTA GENERALE: **NO**, non si è aderito a una convenzione Consip o di altro soggetto aggregatore perché non sono attive convenzioni relative ai beni oggetto dell'appalto da affidare. Nella determina si evidenzia che non sono attualmente in corso convenzioni presso Consip per i beni da acquisire e che all'interno del Centro Acquisti Territoriale non ci sono convenzioni attive relative ai beni oggetto del presente atto.	NO
21	Riferimenti all’obbligo di utilizzo del MEPA o del sistema telematico messo a disposizione dalla centrale regionale di riferimento	RISPOSTA GENERALE : SI, l'affidamento è stato effettuato tramite il Mercato Elettronico della Pubblica Amministrazione (MEPA) come previsto dall'art. 50, comma 1, lett. b) del D. Lgs. 36/2023. La determina specifica che l'affidamento è stato realizzato utilizzando il MEPA, rispettando così l'obbligo di utilizzo per importi pari o superiori a 5.000 euro e inferiori alla soglia di rilievo comunitario.	SI
