	Punto	Response	Simple
0	Intestazione: Settore, Servizio e Autorità che emana il provvedimento e tipo di provvedimento.	"RISPOSTA: NO

Note: Nella determina non è esplicitato il servizio di appartenenza all'interno della macrostruttura vigente, è indicato solo il Settore."	NO
1	Oggetto della determinazione	RISPOSTA : SI	SI
2	Indicazione del CIG, del CPV e del CUP (l’indicazione del CUI:  non è richiesta per gli affidamenti diretti ai sensi dell’art. 50 del Dlgs n.36/2023, in quanto consentiti per importi per i quali non è dovuto l’inserimento nei programmi triennali. È richiesta per affidamenti diretti ai sensi dell’art.76 del Dlgs n.36/2023. In caso di consegne complementari ex art.76, comma 4, let. B, o di ripetizione di lavori o servizi analoghi ex art. 76, comma 6, dovrà essere indicato il CUI dell’appalto principale del quale l’affidamento diretto risulta complementare o analogo)	"RISPOSTA: NO

Note: Nella determina non è presente l'indicazione del codice CPV."	NO
3	Centro di Costo: si indica il centro di costo al quale imputare la spesa.	RISPOSTA : SI	SI
4	Estremi decreto sindacale di nomina del Dirigente.	RISPOSTA : NO	NO
5	Conflitto d’interessi	RISPOSTA : SI	SI
6	Estremi della delega alla firma dell’atto, se persona diversa dal Dirigente.	"RISPOSTA : NO 

Note: Non sono presenti estremi di delega alla firma dell’atto."	NO
7	Estremi atto di nomina del Responsabile unico del Progetto, se nominato.	RISPOSTA: SI	SI
8	Normativa specifica:  Codice dei contratti pubblici (D.Lgs. n. 36.2023.) ;  L. R. n. 8/2018;  Art. 26 legge n.488/1999  Art. 1, D.L. 6 luglio 2012 n. 95 convertito dalla legge 7 agosto 2012 n. 135 (adesione convenzione Consip e MEPA);  Art. 1, comma 450, della legge 27 Dicembre 2006, n. 296 e ss.mm.ii. (per quanto applicabile);  Art. 26, della legge n. 488/1999 e ss.mm.ii.; DPCM 24 dicembre 2015 ;	RISPOSTA: SI	SI
9	Normativa generale:  TUEL;  Legge n. 241/90;  DPR n. 62/2013 Codice comportamento dipendenti pubblici;  L. n. 190/2012;  D.Lgs. n. 33/2013.  Legge n° 136/2010	RISPOSTA : SI	SI
10	Norme di principio   Art. 4 del Dlgs n.36/2023. (Criterio interpretativo e applicativo)	RISPOSTA : SI	SI
11	Regolamenti dell’ente quali:  - Statuto Comunale;  - Regolamento di contabilità;  - Regolamento dei contratti	RISPOSTA : SI	SI
12	Indicazione dei riferimenti della determina a contrarre “semplificata” adottata	"RISPOSTA: NO

Note: Nella determina non è presente l'indicazione dei riferimenti della determina a contrarre semplificata, che è necessaria per procedere correttamente nell'affidamento diretto ex art. 50, comma 1, lett. b) del D.Lgs. n. 36/2023."	NO
13	Indicazione dei riferimenti della determina a contrarre “non semplificata” adottata	"RISPOSTA: SI 

Note: Nella determina sono presenti riferimenti alla ""determinazione a contrattare"" e indicazione del numero e della data."	SI
14	Elementi da approvare con la determina a contrarre nel caso di provvedimento unico	"NO

Note: La determina non indica esplicitamente l'interesse pubblico che si intende soddisfare, né le caratteristiche dettagliate delle opere o dei servizi. Inoltre, non sono menzionati il progetto esecutivo completo o il capitolato d'appalto, elementi richiesti per un affidamento diretto conforme al D.Lgs. 36/2023."	NO
15	Per gli appalti di servizi: DUVRI	"RISPOSTA: NO

Note: Non risulta menzionata la presenza di un DUVRI o l'attestazione del progettista nel testo della determina."	NO
16	Suddivisione in lotti e norme sull’indebito frazionamento	"RISPOSTA : NO

Nota: Non è menzionata la motivazione per la mancata suddivisione dell'appalto in lotti secondo l'art. 58 del D.Lgs. n. 36/2023."	NO
17	Validazione (in caso di lavori pubblici)	"RISPOSTA : NO

Note: Nella determina non si fa riferimento agli estremi dell'avvenuta validazione del progetto posto a base di gara."	NO
18	Criteri Ambientali Minimi (CAM)	"RISPOSTA: NO

Note: Nella determina non viene menzionata l'applicazione dei Criteri Ambientali Minimi (CAM) né è indicato se i lavori e servizi rientrano nell'ambito di applicazione di essi."	NO
19	Cauzione	"RISPOSTA: NO

Note: La determina non menziona l'obbligo di presentare cauzione definitiva né esplicita l'assenza di cauzione in relazione alla scarsa rilevanza economica dell'affidamento."	NO
20	Riferimenti all’obbligo di utilizzo di convenzioni Consip o di soggetti aggregatori	"RISPOSTA : NO

Note: Nella determina non sono presenti riferimenti all'adesione a convenzioni Consip o ad altri soggetti aggregatori, né riguardo alla disponibilità di convenzioni attive per i servizi oggetto dell'affidamento."	NO
21	Riferimenti all’obbligo di utilizzo del MEPA o del sistema telematico messo a disposizione dalla centrale regionale di riferimento	"RISPOSTA : NO 

Note: L'importo per l'affidamento è superiore a € 5.000,00 e quindi non è presente la specifica relativa all'obbligo di utilizzare il mercato elettronico."	NO
22	Indicazioni in merito all’istruttoria propedeutica al provvedimento	"RISPOSTA: NO

Note: Non è presente una descrizione adeguata dell'istruttoria propedeutica al provvedimento, né si evidenziano le modalità di consultazione o indagini di mercato effettuate dal RUP."	NO
23	Denominazione dell’operatore economico affidatario e indicazione relativa all’acquisizione dell’offerta	RISPOSTA : SI	SI
