Numero Determina,Oggetto determina,Checklist associata,Colonna 1
2708-2024,"PROCEDURA APERTA TELEMATICA, AI SENSI DELL'ART. 71 E 107 COMMA 3 DEL D.LGS 36/2023, PER L'AFFIDAMENTO DEI LAVORI DI MANUTENZIONE STRAORDINARIA SS.PP. - RIQUALIFICAZIONE TRATTI STRADALI ANNO 2022/23   MIMS 141/2022, PER LA PROVINCIA DI MONZA E DELLA BRIANZA, TRAMITE PIATTAFORMA SINTEL DI ARIA S.P.A., CON IL CRITERIO DEL PREZZO PIU' BASSO E CON INVERSIONE PROCEDIMENTALE, AI SENSI DEGLI ARTT. 71, 107 COMMA 3 E 108 DEL D.LGS. 36/2023. CIG: B4474B16DA; CUP: B37H22005330001; CUI: L94616010156202300015. DECISIONE DI CONTRARRE. ",DET_IS_CONTR,DETERMINAZIONI d'IMPEGNO DI SPESA/CONTRATTI
2712-2024,"AUTORIZZAZIONE SUBAPPALTO PARTI D'OPERA AFFERENTI ALLE CATEGORIA SCORPORABILE OG9 DA AFFIDARE ALLA SOCIETA' G.I.E. S.R.L. INERENTE AL TERZO CONTRATTO ATTUATIVO NELL'AMBITO DELL'ACCORDO QUADRO PER L'ESECUZIONE DEI LAVORI DI MANUTENZIONE ORDINARIA E STRAORDINARIA DI OPERE ELETTRICHE E DEGLI IMPIANTI FOTOVOLTAICI INSTALLATI PRESSO GLI STABILI DI PROPRIETÀ E DI COMPETENZA DELLA PROVINCIA DI MONZA E DELLA BRIANZA (EDIFICI SCOLASTICI, SEDI PROVINCIALI, CASERME, CASE CANTONIERE, EDIFICI AD USO ABITATIVO, ECC.) CUP B32B24000390004 - CIG PADRE 8922921359 - CIG DERIVATO B285ACF267",,#N/A
2711-2024,"INDIZIONE PROCEDURA SELETTIVA DI MOBILITÀ VOLONTARIA ESTERNA AI SENSI DELL'ART. 30 DEL D. LGS. 30.3.2001 N. 165 E S.M.I. PER LA COPERTURA DI N. 1 POSTO DI ""AGENTE DI POLIZIA PROVINCIALE"", AREA DEGLI ISTRUTTORI, A TEMPO PIENO E INDETERMINATO PRESSO L'UFFICIO POLIZIA STRADALE DELLA PROVINCIA DI MONZA E DELLA BRIANZA",,#N/A
2971-2024,"SUA: PROCEDURA APERTA, AI SENSI DELL ART. 71 DEL D.LGS. 36/2023, PER L'AFFIDAMENTO DEL SERVIZIO DI ASSISTENZA E SUPPORTO DEL SISTEMA INFORMATIVO DEL COMUNE DI CARATE BRIANZA (MB) PER LA DURATA DI 36 MESI CON EVENTUALE PROROGA CONTRATTUALE PER ULTERIORI 36 MESI E PROROGA TECNICA DI MASSIMO 6 MESI, TRAMITE PIATTAFORMA SINTEL DI ARIA S.P.A., CON IL CRITERIO DELL'OFFERTA ECONOMICAMENTE PIÚ VANTAGGIOSA AI SENSI DELL'ART. 108 COMMA 2 LETT. B) DEL D.LGS. 36/2023. CUI S01495680157202400001 CIG B371640D1E AGGIUDICAZIONE. (ATTI_DIRIG/2024/3122/10-12-2024)",,#N/A
2961-2024,"AFFIDAMENTO DIRETTO AI SENSI DELL'ART. 50, COMMA 1 LETT. B) DEL D. LGS. N. 36/2023 PER L'ACQUISIZIONE DI ULTERIORE FORNITURA DI MATERIALE UTILE PER IL CONVEGNO ""PROVINCIA, BENE COMUNE. CELEBRAZIONE DEL VENTENNALE"" - CIG B4A5F52028 (ATTI_DIRIG/2024/3111/09-12-2024)",,#N/A
2959-2024,"AFFIDAMENTO DEL SERVIZIO DI REVISIONE PROGETTUALE, DIREZIONE DEI LAVORI E COORDINAMENTO DELLA SICUREZZA IN ESECUZIONE INERENTE ALL'INTERVENTO DI ADEGUAMENTO ALLA NORMATIVA ANTINCENDIO E MIGLIORAMENTO SISMICO E DELL'I.S.S. GANDHI DI BESANA IN BRIANZA, VIA UGO FOSCOLO, N.1 (CUP B79F18001040003) – CIG B47C90DA7C. (ATTI_DIRIG/2024/3097/07-12-2024)",,#N/A
2958-2024,"LAVORI DI RIFACIMENTO DELLA SEGNALETICA ORIZZONTALE LUNGO LE STRADE PROVINCIALI DI MONZA E DELLA BRIANZA _ RESPONSABILE UNICO DEL PROGETTO, EX ART. 15 DEL D.LGS. N. 36/2023 E GRUPPO DI LAVORO PER LE FASI DI PROGRAMMAZIONE, AFFIDAMENTO ED ESECUZIONE. NOMINA. (ATTI_DIRIG/2024/3095/06-12-2024)",,#N/A
2953-2024,SERVIZIO DI INTERVENTI VARI SULLA STAZIONE DI RILANCIO DELLE ACQUE METEORICHE UBICATA SULLA SP 41 IN CORRISPONDENZA DEL SOTTOPASSO DELLA TANGENZIALE EST DI MILANO IN COMUNE DI VIMERCATE (MB) - CIG B491805747. AFFIDAMENTO A SERVICEPUMP S.R.L. (ATTI_DIRIG/2024/3088/06-12-2024),,#N/A
2938-2024,APPROVAZIONE PRIMO SAL PER LAVORI DI RIFACIMENTO DEI PERCORSI ESTERNI NELLE AREE PERTINENZIALI DEGLI EDIFICI SCOLASTICI SEDI DELL'IIS CASTI-GLIONI DI LIMBIATE MB E DELL'IIS MORANTE DI LIMBIATE MB CUP B82F24000310003 - CIG B334E5A0F5 (ATTI_DIRIG/2024/3091/06-12-2024),,#N/A
2935-2024,"AFFIDAMENTO DIRETTO AI SENSI DELL'ART. 50, COMMA 1 LETT. B) DEL D.LGS N. 36/2023 PER L'ACQUISIZIONE DEL SERVICE AUDIO E VIDEO UTILE PER LO SVOLGIMENTO DEL CONVEGNO ""PROVINCIA, BENE COMUNE. CELEBRAZIONE DEL VENTENNALE"" - CIG B4A2D608CE (ATTI_DIRIG/2024/3071/05-12-2024)",,#N/A
2919-2024,RIMBORSO AL MINISTERO DELLE INFRASRTUTTURE E DEI TRASPORTI DELLE ECONOMIE REALIZZATE A CHIUSURA DELLE OPERE COMPLETAMENTE FINANZIATE DI CUI AI CUP B57H18001140003 (DM 49/2018)- B67H19000020001 (DM 49/2018) - B17H18004260001 (DM 49/2018)- B77H18005280001 (DM 49/2018) - B47H18003350001 (DM 49/2018)- B67H20000390001 - (DM 129/2020) B59J20000660001 (DM 224/2020)- B87H20009570001 (DM 224/2020). (ATTI_DIRIG/2024/3051/04-12-2024),,#N/A
2908-2024,"CONCORSO PUBBLICO, PER TITOLI ED ESAMI, PER L'ASSUNZIONE A TEMPO PIENO E INDETERMINATO DI N. 1 UNITÀ DI PERSONALE NEL PROFILO PROFESSIONALE DI DIRIGENTE DA ASSEGNARE AL SETTORE STAZIONE UNICA APPALTANTE DELLA PROVINCIA DI MONZA E DELLA BRIANZA INDETTO CON DET. DIRIG. R.G. 2690 DEL 31.10.2024– ESCLUSIONE CANDIDATI (ATTI_DIRIG/2024/3057/04-12-2024)",,#N/A
2906-2024,"NOMINA GRUPPO DI LAVORO PER LE FASI DI PROGRAMMAZIONE, PROGETTAZIONE, AFFIDAMENTO ED ESECUZIONE PER I LAVORI DI MIGLIORAMENTO SISMICO E ADE-GUAMENTO ALLA NORMATIVA DI PREVENZIONE INCENDI DELL'IISS GANDHI DI BESANA BRIANZA - CUP B79F18001040003 (ATTI_DIRIG/2024/2666/29-10-2024)",,#N/A
2866-2024,"PROVVEDIMENTO DI ISCRIZIONE DELL'ENTE CON CF 02902190962 - ASSOCIAZIONE AMICI DELLA CORRADA ODV (143939 – REPERTORIO) NELLA SEZIONE A) – ORGANIZZAZIONI DI VOLONTARIATO DI CUI ALL'ARTICOLO 46 COMMA 1 D. LGS. DEL 3 LUGLIO 2017 N. 117, AI SENSI DELL'ARTICOLO 47 DEL D. LGS. DEL 3 LUGLIO 2017 N. 117 E DELL'ARTICOLO 9 DEL DECRETO MINISTERIALE N. 106 DEL 15/09/2020. (ATTI_DIRIG/2024/3032/02-12-2024)",,#N/A
2826-2024,"COMMISSIONE SELEZIONATRICE DEL CONCORSO PUBBLICO, PER ESAMI, PER L'ASSUNZIONE A TEMPO PIENO E INDETERMINATO DI N. 1 UNITÀ DI PERSONALE NEL PROFILO PROFESSIONALE DI FUNZIONARIO AMBIENTALE DA ASSEGNARE AL SETTORE TERRITORIO E AMBIENTE - SERVIZIO BONIFICHE, CAVE, RISORSE IDRICHE ED EMISSIONI DELLA PROVINCIA DI MONZA E DELLA BRIANZA – IMPEGNO DI SPESA (ATTI_DIRIG/2024/2983/28-11-2024)",,#N/A
2816-2024,PROVVEDIMENTO DI CANCELLAZIONE DAL REGISTRO UNICO NAZIONALE DEL TERZO SETTORE AI SENSI AI SENSI DEGLI ARTT. 49 E 50 CO. 1 DLGS. 117/2017 E DEGLI ARTT. 23 (LETTERA B) E 24 CO. 3 DEL DM 106/2020 DELL'ASSOCIAZIONE CF 97822790156 - LAMPIONI AEREI ASSOCIAZIONE DI PROMOZIONE SOCIALE APS (28902 – REPERTORIO) ISCRITTO IN SEGUITO A TRASMIGRAZIONE NELLA SEZIONE B) DEL REGISTRO UNICO NAZIONALE DEL TERZO SETTORE - PRECEDENTEMENTE ISCRITTO AI REGISTRI REGIONALI AI SENSI DELL'ART 54 DEL D.LGS. 117/2017. (ATTI_DIRIG/2024/2962/27-11-2024),,#N/A
