																				
1	Applicazione delle normative pertinenti alla fattispecie, tenuto conto delle sopravvenute disposizioni vigenti										
	1a	D.Lgs 267/2000 artt. 107 e 179									
2	Conformità norme regolamentari e osservanza di atti amministrativi interni a valenza regolamentare										
	2a	Regolamento sull'ordinamento degli uffici e dei Servizi - (DG N. 9 del 29/1/2014)																		
	2b	Regolamento di contabilità 																		
	2c	Regolamento in materia di controlli interni																		
	2d	Normativa sulla privacy nel testo dei provvedimenti e nelle procedure adottate (art. 20 e 21 D.Lgs. 196/2003)																		
3	Informazioni relative all'istanza/richiesta										
4	Conformità al programma di mandato, Piano Esecutivo di Gestione, atti di programmazione										
	4a	Regolarità delle procedure, correttezza formale nei provvedimenti emessi																		
	4b	Corenza dei dati riportati nei provvedimenti e nei relativi allegati																		
5	Tempestività dell'adozione dell'atto	Accertare tempestivamente concorre al Patto di stabilità per la parte corrente del Bilancio									
6	Accertamento del credito										
	6a	Motivazione del credito																		
	6b	Idoneo titolo giuridico																		
	6c	Liquidità, certezza ed esigibilità del credito																		
	6d	Entrate - carattere tributario											
		6d.1	Emissione di ruoli																	
		6d.2	Liste di carico																	
	6e	Entrate - carattere  patrimoniale											
	6f	Entrate per gestione di servizi 											
		6f.1	Tariffe 																	
		6f.2	Contribuzioni utenze (acquisizione diretta o con emissione liste di carico)																																			
	6g	Entrate relative a partite compensative delle spese											
	6h	 Entrate - (eventuali altre tipologie)											
		6h.1	Mediante contratti																	
		6h.2	Provvedimenti giudiziari																	
		6h.3	Mediante atti amministrativi specifici																	
7	SOGGETTO DEBITORE										
	7a	Pubblico																		
	7b	Privato																		
	7c	Importo lordo da corrispondere al creditore €																		
8	SOMMA DA INCASSARE	Somma da incassare 									
9	TERMINE/SCADENZA RISCOSSIONE DATA	Da prevedere sempre									
10	Rispetto forme di pubblicità fitti attivi (sito internet) D.Lgs 33/2013 art. 30  beni immobili e gestione patrimonio									
									
