	Punto	Response	Simple
0	Intestazione: Settore, Servizio e Autorità che emana il provvedimento e tipo di provvedimento.	RISPOSTA GENERALE: NO, la determina indica il settore (Staff Segretario Generale) e l'autorità che emette il provvedimento (Segretario Generale), ma non specifica il servizio di appartenenza presente nella macrostruttura vigente.	NO
1	Oggetto della determinazione	"### Risposta Generale: SI

La determina in oggetto n. 345 del 13/02/2025 si riferisce esattamente al codice 15275 e all'affidamento diretto ai sensi dell’art. 50, comma 1, lett. b) del D.Lgs. n. 36/2023. L'oggetto riguarda l'affidamento diretto tramite Ordine di Acquisto (OdA) sul Mercato Elettronico della Pubblica Amministrazione (MEPA) di Consip per servizi di formazione sui controlli di regolarità amministrativa, specifica formazione e implementazione software AuditingPA, in adeguamento al Codice dei Contratti Pubblici D.Lgs 36/2023."	SI
2	Indicazione del CIG, del CPV e del CUP (l’indicazione del CUI:  non è richiesta per gli affidamenti diretti ai sensi dell’art. 50 del Dlgs n.36/2023, in quanto consentiti per importi per i quali non è dovuto l’inserimento nei programmi triennali. È richiesta per affidamenti diretti ai sensi dell’art.76 del Dlgs n.36/2023. In caso di consegne complementari ex art.76, comma 4, let. B, o di ripetizione di lavori o servizi analoghi ex art. 76, comma 6, dovrà essere indicato il CUI dell’appalto principale del quale l’affidamento diretto risulta complementare o analogo)	"### Verifica degli Elementi Generali Identificativi dell’Atto:

#### Indicazione del CIG, del CPV e del CUP:

- **CIG (Codice Identificativo di Gara):** Nella determina viene indicato che il CIG verrà richiesto al termine della fase di ODA (Ordine Diretto di Acquisto) sul MEPA di Consip.
- **CPV (Common Procurement Vocabulary):** Il codice CPV è indicato (80500000-9), che corrisponde ai servizi di formazione.
- **CUP (Codice Unico di Progetto):** Non è menzionato nella determina.

### RISPOSTA GENERALE:
- **RISPOSTA: SI**
- **Spiegazione:** La determina rispetta l'obbligo di indicare il codice CPV e prevede che il CIG venga acquisito successivamente, come consentito per gli affidamenti diretti. Non è richiesto il CUP in questo caso specifico, poiché non ci sono indicazioni di progetti che richiedano tale codice."	SI
3	Centro di Costo: si indica il centro di costo al quale imputare la spesa.	"RISPOSTA GENERALE: SI

Nella determina viene esplicitamente indicato il centro di costo ""1000000"" nel contesto di imputazione della spesa per l'importo IVA incluso relativo alle ""Altre Prestazioni di Servizi""."	SI
4	Estremi decreto sindacale di nomina del Dirigente.	"**RISPOSTA GENERALE: SI**

Nella determina, è citato il Decreto del Sindaco n. 18 del 26/06/2024 avente ad oggetto la ""Nomina del Segretario Comunale titolare del Comune di Olbia"", che funge da Dirigente per l'atto. Tuttavia, la determina non esplicita se il Dirigente è anche il RUP o responsabile della fase di affidamento. Il RUP è identificato nel Dott. Paolo Contu, che potrebbe essere una persona diversa dal Dirigente. Non ci sono ulteriori dettagli sulla suddivisione delle responsabilità tra il Dirigente e il RUP."	SI
5	Conflitto d’interessi	"RISPOSTA GENERALE: SI

Spiegazione: Nella determina è espressamente dichiarato, ai sensi dell'art. 16 del D.Lgs. 36/2023, che il Responsabile Unico del Progetto (RUP) non si trova in alcuna condizione di conflitto di interessi riguardo alla procedura indicata. Questo rispetto è dichiarato anche in relazione all’articolo 6-bis della Legge 241/1990 come introdotto dalla Legge 190/2012. Queste dichiarazioni indicano che è stata condotta la verifica necessaria per assicurare che non vi siano conflitti di interessi nel contesto dell’acquisto e che tutte le disposizioni in materia di conflitto di interessi sono state rispettate."	SI
6	Estremi della delega alla firma dell’atto, se persona diversa dal Dirigente.	"### Output:
RISPOSTA GENERALE: NON RICHIESTO, La determina è firmata dal Dirigente, Maurizio Guadagno, pertanto non è necessaria una delega alla firma."	NON RICHIESTO
7	Estremi atto di nomina del Responsabile unico del Progetto, se nominato.	"### Output:

RISPOSTA GENERALE: SI, l'estremo di nomina del Responsabile Unico del Progetto (RUP) è presente nella determina. Il documento indica che il Funzionario Dott. Paolo Contu è stato nominato RUP, e si afferma che nei confronti dello stesso non sussistono situazioni di conflitto di interessi."	SI
8	Normativa specifica:  Codice dei contratti pubblici (D.Lgs. n. 36.2023.) ;  L. R. n. 8/2018;  Art. 26 legge n.488/1999  Art. 1, D.L. 6 luglio 2012 n. 95 convertito dalla legge 7 agosto 2012 n. 135 (adesione convenzione Consip e MEPA);  Art. 1, comma 450, della legge 27 Dicembre 2006, n. 296 e ss.mm.ii. (per quanto applicabile);  Art. 26, della legge n. 488/1999 e ss.mm.ii.; DPCM 24 dicembre 2015 ;	"RISPOSTA GENERALE: NO

La determina cita il Codice dei contratti pubblici (D.Lgs. n. 36/2023) in più punti e fa riferimento all'Art. 26 della legge n. 488/1999 in relazione alle convenzioni Consip e MEPA, specificando che al momento dell'indizione della procedura di acquisto/servizio non erano attive convenzioni Consip né SardegnaCAT per la tipologia di prodotto/servizio oggetto della procedura. Tuttavia, non viene citata la L. R. n. 8/2018 né il DPCM 24 dicembre 2015. Pertanto, non tutti i riferimenti normativi indicati sono stati specificamente rispettati o dichiarati applicabili nella determina."	NO
9	Normativa generale:  TUEL;  Legge n. 241/90;  DPR n. 62/2013 Codice comportamento dipendenti pubblici;  L. n. 190/2012;  D.Lgs. n. 33/2013.  Legge n° 136/2010	"RISPOSTA GENERALE: SI

Spiegazione sintetica: La determina include i riferimenti normativi generali richiesti. Nello specifico menziona il TUEL (D.Lgs. n. 267/2000), la Legge n. 241/90, il D.P.R. n. 62/2013, la Legge n. 190/2012, il D.Lgs. n. 33/2013, e la Legge n. 136/2010, rispettando le istruzioni fornite."	SI
10	Norme di principio   Art. 4 del Dlgs n.36/2023. (Criterio interpretativo e applicativo)	"### RISPOSTA GENERALE:

**NO**: La determina non menziona esplicitamente l'Art. 4 del Dlgs n. 36/2023, né fa riferimento specifico all'applicazione dei principi di cui agli articoli 1, 2 e 3 menzionati nel nuovo codice dei contratti. Sebbene la determina indichi il rispetto dei principi generali del codice (Libro I, Parti I e II del Dlgs 36/2023), non offre una chiara descrizione di come tali principi siano stati contemperati con l'obiettivo prioritario del risultato in termini di qualità, tempestività ed economicità come richiesto dal punto 11 della checklist."	NO
11	Regolamenti dell’ente quali:  - Statuto Comunale;  - Regolamento di contabilità;  - Regolamento dei contratti	"**RISPOSTA GENERALE**: NO, 

Nella determina, non viene fatto riferimento specifico a norme come lo Statuto Comunale, il Regolamento di contabilità o il Regolamento dei contratti. Sebbene siano menzionati alcuni regolamenti generali, come il Regolamento comunale sull’Ordinamento degli Uffici e dei Servizi vigente e il Regolamento comunale per l’attuazione dei controlli di regolarità amministrativa, i riferimenti normativi richiesti non sono stati citati esplicitamente per confermare la loro applicazione o rispetto nel contesto di questa determina."	NO
