	Punto	Response	Simple
0	Intestazione: Settore, Servizio e Autorità che emana il provvedimento e tipo di provvedimento.	RISPOSTA GENERALE : NO, La determina non specifica il servizio di appartenenza all'interno del settore Ambiente e Lavori Pubblici, come richiesto dalle istruzioni.	NO
1	Oggetto della determinazione	RISPOSTA GENERALE: NO, La determina riporta un oggetto errato (COD: 15271) e non menziona esplicitamente la norma attributiva del potere ex art. 50, comma 1, lett. a/b del D.Lgs. n. 36/2023.	NO
2	Indicazione del CIG, del CPV e del CUP (l’indicazione del CUI:  non è richiesta per gli affidamenti diretti ai sensi dell’art. 50 del Dlgs n.36/2023, in quanto consentiti per importi per i quali non è dovuto l’inserimento nei programmi triennali. È richiesta per affidamenti diretti ai sensi dell’art.76 del Dlgs n.36/2023. In caso di consegne complementari ex art.76, comma 4, let. B, o di ripetizione di lavori o servizi analoghi ex art. 76, comma 6, dovrà essere indicato il CUI dell’appalto principale del quale l’affidamento diretto risulta complementare o analogo)	RISPOSTA GENERALE: NO, non è presente l'indicazione del CPV nella determina. Sebbene siano indicati il CIG e il CUP, manca il codice CPV richiesto ai sensi dell'art. 17, comma 2, del D.Lgs. n. 36/2023.	NO
3	Centro di Costo: si indica il centro di costo al quale imputare la spesa.	RISPOSTA GENERALE : NO, [Nella determina non è indicato il centro di costo al quale imputare la spesa.]	NO
4	Estremi decreto sindacale di nomina del Dirigente.	RISPOSTA GENERALE: **NO**, non sono presenti gli estremi del decreto sindacale di nomina del Dirigente nella determina. Non è specificato se il Dirigente è anche RUP o responsabile della fase di affidamento, né sono definiti i compiti e profili di responsabilità in relazione alla nuova normativa.	NO
5	Conflitto d’interessi	RISPOSTA GENERALE: SI, [Nella determina è esplicitamente dichiarato il pieno rispetto delle disposizioni relative al conflitto di interessi, confermando l'insussistenza di conflitti in capo al firmatario, al RUP e agli altri partecipanti al procedimento.]	SI
6	Estremi della delega alla firma dell’atto, se persona diversa dal Dirigente.	RISPOSTA GENERALE: NO, non sono presenti gli estremi della delega alla firma dell’atto, poiché la determina non specifica se il Dirigente ha ricevuto una delega per firmare in nome di un'altra persona.	NO
7	Estremi atto di nomina del Responsabile unico del Progetto, se nominato.	RISPOSTA GENERALE : NO, Il testo della determina non riporta gli estremi dell'atto di nomina del Responsabile unico del Progetto, se nominato.	NO
8	Normativa specifica:  Codice dei contratti pubblici (D.Lgs. n. 36.2023.) ;  L. R. n. 8/2018;  Art. 26 legge n.488/1999  Art. 1, D.L. 6 luglio 2012 n. 95 convertito dalla legge 7 agosto 2012 n. 135 (adesione convenzione Consip e MEPA);  Art. 1, comma 450, della legge 27 Dicembre 2006, n. 296 e ss.mm.ii. (per quanto applicabile);  Art. 26, della legge n. 488/1999 e ss.mm.ii.; DPCM 24 dicembre 2015 ;	RISPOSTA GENERALE : **SI**, la determina fa riferimento al Codice dei contratti pubblici (D.Lgs. n. 36/2023) in diverse sezioni, specificando articoli e commi pertinenti, come l'art. 50, comma 1, lett. a) per l'affidamento diretto. Inoltre, si menzionano altre normative rilevanti, come la L.R. n. 8/2018 e l'art. 26 della legge n. 488/1999, dimostrando che sono stati considerati i vincoli e le procedure derivanti dalla normativa applicabile.	SI
9	Normativa generale:  TUEL;  Legge n. 241/90;  DPR n. 62/2013 Codice comportamento dipendenti pubblici;  L. n. 190/2012;  D.Lgs. n. 33/2013.  Legge n° 136/2010	RISPOSTA GENERALE: SI, [La determina fa riferimento a normative generali come il TUEL, la Legge n. 241/90, il DPR n. 62/2013, la Legge n. 190/2012 e il D.Lgs. n. 33/2013, che sono essenziali per la comprensione del processo logico alla base del provvedimento. Queste norme sono correlate con il provvedimento e supportano la sua legittimità e correttezza amministrativa.]	SI
10	Norme di principio   Art. 4 del Dlgs n.36/2023. (Criterio interpretativo e applicativo)	RISPOSTA GENERALE: **SI**, la determina fa riferimento all'art. 4 del Dlgs n. 36/2023, stabilendo che le disposizioni del codice si interpretano e si applicano in base ai principi di cui agli articoli 1, 2 e 3. Inoltre, si evidenzia l'importanza del principio del risultato nell'esercizio della discrezionalità amministrativa, in linea con quanto previsto dalla normativa.	SI
11	Regolamenti dell’ente quali:  - Statuto Comunale;  - Regolamento di contabilità;  - Regolamento dei contratti	RISPOSTA GENERALE: **SI**, la determina fa riferimento al Regolamento di contabilità dell'ente, come indicato nel testo. Tuttavia, non menziona esplicitamente lo Statuto Comunale e il Regolamento dei contratti.	SI
12	Indicazione dei riferimenti della determina a contrarre “semplificata” adottata	"RISPOSTA GENERALE: NO, La determina non contiene un riferimento esplicito alla determina a contrarre ""semplificata"" adottata, che è necessaria per l'affidamento diretto ai sensi dell'art. 50, comma 1, lett. a) e b) del D.Lgs. n. 36/2023."	NO
13	Indicazione dei riferimenti della determina a contrarre “non semplificata” adottata	"RISPOSTA GENERALE: NO, La determina non fa esplicito riferimento all'adozione di una determina a contrarre ""non semplificata"" con numero e data, né indica i termini entro i quali la procedura avrebbe dovuto concludersi."	NO
14	Elementi da approvare con la determina a contrarre nel caso di provvedimento unico	RISPOSTA GENERALE: NO, non è presente l'indicazione dell'interesse pubblico che intende soddisfare l’amministrazione, né le caratteristiche delle opere, dei beni o dei servizi che si intendono acquistare. Inoltre, non è fornito il progetto esecutivo completo di quanto previsto all'allegato I.7 del Dlgs. N. 36/2023, né il capitolato d’appalto o il quaderno d’oneri per i beni e servizi. La mancanza di queste informazioni è considerata grave.	NO
15	Per gli appalti di servizi: DUVRI	RISPOSTA GENERALE: NO, non è presente il DUVRI o l'attestazione del progettista che certifichi che non è necessario redigere il DUVRI. La determina non menziona alcun documento relativo alla gestione delle interferenze o la quantificazione degli oneri per la sicurezza da rischio interferenziale.	NO
16	Suddivisione in lotti e norme sull’indebito frazionamento	RISPOSTA GENERALE: NO, La determina non contiene una motivazione adeguata per la mancata suddivisione dell'appalto in lotti, come richiesto dall’art. 58 del D.Lgs. n. 36/2023. Non sono state fornite ragioni oggettive che giustifichino la scelta di non frazionare l'appalto, né si fa riferimento a come questa decisione possa promuovere condizioni di concorrenza paritarie per le piccole e medie imprese.	NO
17	Validazione (in caso di lavori pubblici)	RISPOSTA GENERALE: NO, non è indicato l'avvenuto processo di validazione del progetto posto a base di gara nella determina. Non ci sono riferimenti specifici alla validazione del progetto, che è un elemento necessario per l'affidamento diretto dei lavori pubblici.	NO
18	Criteri Ambientali Minimi (CAM)	RISPOSTA GENERALE: NO, non è specificato se i lavori rientrano nell'ambito di applicazione dei criteri ambientali minimi (CAM) adottati e in vigore. La determina non menziona alcun riferimento ai CAM né indica se i lavori relativi alle indagini ambientali integrative siano conformi ai criteri ambientali minimi previsti dal Piano per la sostenibilità ambientale dei consumi del settore della pubblica amministrazione.	NO
19	Cauzione	RISPOSTA GENERALE: NO, non è stata menzionata la cauzione definitiva nella determina. La determina afferma che, ai sensi dell'art. 50, comma 1 del D.Lgs. n. 36/2023, non è richiesta la garanzia a corredo dell'offerta, ma non specifica se è necessaria una cauzione definitiva. Pertanto, non è chiaro se l'affidatario debba presentare una cauzione definitiva o meno.	NO
20	Riferimenti all’obbligo di utilizzo di convenzioni Consip o di soggetti aggregatori	"RISPOSTA GENERALE: NO, non si è aderito a convenzioni Consip o di soggetti aggregatori. 

Spiegazione: Nella determina non sono presenti riferimenti all'adesione a convenzioni Consip o di soggetti aggregatori per l'affidamento dei lavori relativi alle indagini ambientali integrative. Non è specificato se tali convenzioni siano attive o se i servizi richiesti rientrino nelle categorie merceologiche previste. Pertanto, si presume che non siano disponibili convenzioni adeguate per il servizio in oggetto."	NO
21	Riferimenti all’obbligo di utilizzo del MEPA o del sistema telematico messo a disposizione dalla centrale regionale di riferimento	RISPOSTA GENERALE: NO, non è presente un riferimento all'obbligo di utilizzo del MEPA o del sistema telematico messo a disposizione dalla centrale regionale di riferimento. La determina non specifica che l'affidamento è inferiore a € 5.000,00, pertanto non si evince che non sia previsto l'obbligo di utilizzare il mercato elettronico.	NO
22	Indicazioni in merito all’istruttoria propedeutica al provvedimento	RISPOSTA GENERALE: NO, [Nella determina non sono forniti dettagli sufficienti riguardo all'istruttoria propedeutica al provvedimento, come le modalità di interpellazione degli operatori economici o le indagini di mercato effettuate dal RUP. Non è chiaro se siano state considerate le esperienze pregresse degli operatori o se siano state svolte ricerche di mercato adeguate per garantire la scelta di un operatore idoneo.]	NO
23	Denominazione dell’operatore economico affidatario e indicazione relativa all’acquisizione dell’offerta	"RISPOSTA GENERALE : SI, [La determina riporta la denominazione dell'operatore economico affidatario, Geoambiente Italia di Doneddu Alessio Arturo & c S.a.S., e specifica che l'offerta è pervenuta tramite la Centrale di Committenza Regionale ""Sardegna Cat"" in data 09/12/2024.]"	SI
24	Importo di affidamento	RISPOSTA GENERALE: NO, [Nella determina non è specificato il costo della manodopera dichiarato, né il contratto collettivo di lavoro applicato, quindi non è possibile attestare la congruità del costo della manodopera e l'adeguatezza del contratto collettivo in relazione alle tutele a favore dei lavoratori impiegati nell'appalto.]	NO
25	Indicazione di requisiti previsti dalle disposizioni vigenti per il ricorso all’affidamento diretto.	RISPOSTA GENERALE: **SI**, l'operatore economico selezionato è in possesso di documentate esperienze pregresse idonee all’esecuzione delle prestazioni contrattuali, come indicato nella determina.	SI
26	Motivazione scelta della procedura e del contraente;        Esporre le ragioni della scelta della ditta affidataria;        Esposizione del fatto che legittima il ricorso alla procedura e della valutazione in ordine alla scelta del contraente.	RISPOSTA GENERALE: NO, La determina non espone in modo dettagliato le ragioni della scelta della ditta affidataria, né fornisce una motivazione adeguata in merito al possesso dei requisiti previsti dall’art. 50 del D.Lgs. n. 36/2023. Non viene chiarito come l'offerta risponda all'interesse pubblico, né si evidenziano eventuali caratteristiche migliorative offerte dall'affidatario. Inoltre, non è rispettato il principio di rotazione, dato che non viene fornita una giustificazione per l'affidamento diretto a un operatore economico già utilizzato in precedenti contratti.	NO
27	Motivazione scelta della procedura nel caso di ricorso all’art. 76, del Dlgs n.36/2023	RISPOSTA GENERALE: NO, non è presente una motivazione specifica del ricorso alla procedura ex art. 76, del Dlgs n.36/2023. La determina non fornisce dettagli sulla gravità della situazione che giustificherebbe l'affidamento diretto in base a tale articolo, il che è necessario per rispettare i requisiti normativi.	NO
28	Conformità dell’affidamento ai principi ed alle norme in materia di appalti pubblici	RISPOSTA GENERALE: **SI**, l'affidamento è conforme ai principi e alle norme in materia di appalti pubblici, come indicato nel testo della determina, che fa riferimento all'art. 50, comma 1, lett. a) del D.Lgs. n. 36/2023, il quale stabilisce le modalità di affidamento diretto per contratti di importo inferiore alle soglie comunitarie, assicurando il rispetto dei requisiti di esperienza e capacità del contraente.	SI
29	Dare atto della verifica dei requisiti dell’affidatario	RISPOSTA GENERALE: **SI**, la determina dà atto della verifica dei requisiti dell'affidatario, specificando che la ditta Geoambiente Italia ha presentato una dichiarazione sostitutiva di atto di notorietà attestante il possesso dei requisiti richiesti, i quali verranno riscontrati secondo le modalità previste dall'art. 22 del Regolamento per l'affidamento.	SI
30	Verifica sulla regolarità contributiva, DURC o attestazione della stessa o autocertificazione (limitata ai casi previsti dalla legge).	RISPOSTA GENERALE: NO, non è presente alcuna menzione riguardante la regolarità contributiva, DURC o attestazione della stessa nella determina. Questo rappresenta una grave mancanza, in quanto la regolarità contributiva è un requisito fondamentale per l'affidamento diretto.	NO
31	Riferimenti alla deliberazione di approvazione del bilancio.	RISPOSTA GENERALE: NO, non sono presenti riferimenti alla deliberazione di approvazione del bilancio pluriennale vigente nella determina. Non è stata indicata alcuna delibera specifica relativa all'approvazione del bilancio.	NO
32	Riferimenti deliberazione approvazione PEG e al PIAO	RISPOSTA GENERALE: NO, [Nella determina non sono presenti riferimenti espliciti alla deliberazione di approvazione del Piano Esecutivo di Gestione (PEG) e al Piano Integrato di Attività e Organizzazione (PIAO), che sono necessari per garantire la regolarità contabile dell'atto.]	NO
33	Impegno di spesa/prenotazione	RISPOSTA GENERALE: SI, l'importo impegnato è di € 30.137,59, di cui € 564,83 per oneri della sicurezza non soggetti a ribasso e assoggettato all'IVA di legge. L'impegno trova copertura finanziaria sul capitolo di spesa 78295 del bilancio corrente, denominato “Opere di mitigazione del rischio idrogeologico – Convenzione OIS”. Non si fa riferimento a bilancio e PEG non approvati, né a impegni di spesa pluriennali.	SI
34	Contributo ANAC	RISPOSTA GENERALE: NO, non è presente alcun riferimento al pagamento del contributo all'ANAC nella determina, né è indicato un impegno di spesa relativo a tale contributo. Inoltre, l'importo dell'affidamento è inferiore a € 40.000,00, quindi non è necessario assumere tale impegno.	NO
35	Flussi finanziari	RISPOSTA GENERALE: NO, [La determina non menziona l'obbligo di tracciabilità dei flussi finanziari ai sensi della legge n° 136/2010, né specifica le conseguenze del mancato adempimento, come la nullità del contratto e la risoluzione di diritto.]	NO
36	Conformità dei pagamenti con le regole della finanza pubblica vigenti	RISPOSTA GENERALE: NO, La determina non fa esplicito riferimento alla compatibilità del programma di spesa con le vigenti regole della finanza pubblica. Non è presente un'attestazione che confermi tale conformità.	NO
