	Punto	Response	Simple
0	Intestazione: Settore, Servizio e Autorità che emana il provvedimento e tipo di provvedimento.	RISPOSTA GENERALE : NO, La determina indica solo il Settore (SUAPE, Manutenzioni e Viabilità) ma non specifica il servizio di appartenenza presente nella macrostruttura vigente.	NO
1	Oggetto della determinazione	RISPOSTA GENERALE: SI, La determina riporta correttamente l'oggetto relativo al codice 15275 e fa riferimento alla norma attributiva del potere ex art. 50, comma 1, lett. b) del D.Lgs. n. 36/2023 per l'affidamento diretto dell'incarico professionale.	SI
2	Indicazione del CIG, del CPV e del CUP (l’indicazione del CUI:  non è richiesta per gli affidamenti diretti ai sensi dell’art. 50 del Dlgs n.36/2023, in quanto consentiti per importi per i quali non è dovuto l’inserimento nei programmi triennali. È richiesta per affidamenti diretti ai sensi dell’art.76 del Dlgs n.36/2023. In caso di consegne complementari ex art.76, comma 4, let. B, o di ripetizione di lavori o servizi analoghi ex art. 76, comma 6, dovrà essere indicato il CUI dell’appalto principale del quale l’affidamento diretto risulta complementare o analogo)	RISPOSTA GENERALE: **NO**, non è presente l'indicazione del CPV nella determina dirigenziale. Sebbene siano indicati il CIG e il CUP, manca l'inserimento del codice CPV richiesto ai sensi dell'art. 17, comma 2, del D.Lgs. n. 36/2023, il quale è obbligatorio per la corretta identificazione dell'appalto.	NO
3	Centro di Costo: si indica il centro di costo al quale imputare la spesa.	RISPOSTA GENERALE : SI, Il centro di costo è indicato nella determina con il capitolo 71052 denominato “Completamento Palazzo di Giustizia”.	SI
4	Estremi decreto sindacale di nomina del Dirigente.	RISPOSTA GENERALE: **NO**, il decreto sindacale di nomina del Dirigente non è stato menzionato nella determina. Non è stato esplicitato se il Dirigente è anche RUP né se è responsabile della fase di affidamento. Inoltre, non è stata fornita alcuna informazione riguardo a eventuali decreti di sostituzione per dirigenti assenti.	NO
5	Conflitto d’interessi	RISPOSTA GENERALE: SI, [Nella determina è esplicitamente dichiarato che il Responsabile Unico del Procedimento (RUP) non si trova in conflitto di interessi, in conformità con l'art. 16 del D.Lgs. n. 36/2023, e che sono stati rispettati i principi di imparzialità e indipendenza.]	SI
6	Estremi della delega alla firma dell’atto, se persona diversa dal Dirigente.	RISPOSTA GENERALE: NO, [Nella determina non sono presenti gli estremi della delega alla firma dell'atto, in quanto non è specificato se la firma è stata apposta da un soggetto diverso dal Dirigente.]	NO
7	Estremi atto di nomina del Responsabile unico del Progetto, se nominato.	RISPOSTA GENERALE : [SI], [Il Responsabile Unico del Progetto (RUP) è stato nominato e il suo nome, Vincenzo Lombardi, è chiaramente indicato nella determina, insieme al riferimento della Determinazione del Dirigente del Settore Tecnico che lo ha designato.]	SI
8	Normativa specifica:  Codice dei contratti pubblici (D.Lgs. n. 36.2023.) ;  L. R. n. 8/2018;  Art. 26 legge n.488/1999  Art. 1, D.L. 6 luglio 2012 n. 95 convertito dalla legge 7 agosto 2012 n. 135 (adesione convenzione Consip e MEPA);  Art. 1, comma 450, della legge 27 Dicembre 2006, n. 296 e ss.mm.ii. (per quanto applicabile);  Art. 26, della legge n. 488/1999 e ss.mm.ii.; DPCM 24 dicembre 2015 ;	RISPOSTA GENERALE : **SI**, La determina fa riferimento al Codice dei contratti pubblici (D.Lgs. n. 36/2023) e alle normative correlate, specificando gli articoli e i commi applicati, come ad esempio l'art. 50, comma 1, lett. b) per l'affidamento diretto, e l'art. 192 del D.Lgs. 267/2000 per la preventiva determinazione a contrattare. Inoltre, vengono citate le disposizioni relative all'adesione alle convenzioni Consip e al mercato elettronico (MEPA), in conformità con l'art. 1, comma 450 della Legge n. 296/2006 e l'art. 26 della legge n. 488/1999. Pertanto, la normativa specifica è indicata in modo adeguato e il vincolo procedurale è rispettato.	SI
9	Normativa generale:  TUEL;  Legge n. 241/90;  DPR n. 62/2013 Codice comportamento dipendenti pubblici;  L. n. 190/2012;  D.Lgs. n. 33/2013.  Legge n° 136/2010	RISPOSTA GENERALE : SI, [La determina fa riferimento a normative generali come il TUEL (D.Lgs. n. 267/2000) e la Legge n. 241/90, che sono essenziali per comprendere il processo amministrativo alla base del provvedimento. Inoltre, si citano leggi e decreti che regolano comportamenti e trasparenza nelle pubbliche amministrazioni, confermando la loro rilevanza nel contesto della determina.]	SI
