Punto,Descrizione,SI/NO,Note,LLM
1,Competenza organo/dirigente individuato con decreto,NO,Decreto sindacale 35/2024,SI
2,"Articolazione dell’atto in intestazione preambolo/premessa, parte motivazione, dispositivo, indicazione autorità e termini per ricorrere, riferimenti al deposito nel fascicolo digitale degli atti afferenti il procedimento amm.vo ex art. 41 CAD (gestione documentale)",SI,( Tranne CAD perchè è successivo ),NO
3,Affidabilità riferimenti normativi di carattere generale es. TUEL,SI,"( diciamo, perchè sono sempre molto generici )",SI
4,"Affidabilità riferimenti normativi specifici es. Codice dei contratti
 Regolamenti Ente",SI,( entrambi ),SI
5,"Nel caso di attività inserite negli atti di programmazione Coerenza con:  
 - DUP  e PIAO  
 - Bilancio di Previsione se trattasi di DD con spesa;  
 - cronoprogramma  in fase di esecuzione (lavori, forniture, servizi – SITAT e altre banche dati)",SI,"( perchè qui, accordo Qaudro, c'è il resto, la cosa importatnte è il cronoprogramma )",NO
6,Esplicitazione motivazione con puntuale indicazione presupposti di fatto e ragioni giuridiche (riferimenti normativi e/o regolamentari),SI,,SI
7,"1) Responsabile del Procedimento  
  ovvero distinzione tra responsabile del procedimento e del provvedimento; se è la EQ responsabile del provvedimento (delega di firma) indicare l’attribuzione/delega del Dirigente
 2)  indicare  RUP delegato per fase",SI,ing falsirli,SI
8,"Indicazione misure di prevenzione pertinenti rispetto allo specifico provvedimento, ad es:
 - conflitto di interessi (per il PNRR obbligatorio sempre chiedere la dichiarazione)
 - obblighi di pubblicità ai sensi delle Delibere ANAC 2023 per contratti finiti o in corso al 31.1.2023
  - obblighi di pubblicità ai sensi del Dlvo 36/2023, art. 28
 
 
 Qualora il provvedimento sia funzionale al raggiungimento di un obiettivo di performance, dare atto del rispetto delle misure di protezione inserite nelle fasi di PIAO",SI,COSA più importanti è il conflitto di interesse,NO
9,Rispetto normativa sulla tutela della riservatezza laddove rilevante,NON PERTINENTE,perchè parte accordo quado,NO
10,Rispetto dei tempi e dei termini del procedimento,SI,( perchè è implicito dato che sto pagando il noleggio ),NO
11,"Altre annotazioni/criticità in merito: a. possibilità di semplificare
 b. possibilità di digitalizzare
 c. fare un focus specifico
 d. pari opportunità
 e. accesso",NON PERTINENTE,( finito,NO
12,ALTRO,,,
